name1,name2,type,score,admin,links,unlinks
family room with double bed,triple room with 1 double bed and 1 single bed (3 adults),match,-6,0,0,6
suite - sea view,junior suite - club - sea view,match,-6,0,0,6
ziva ocean front double room,1 king and 1 sofa bed ocean front king (with sofa bed). bed type can not be guaranteed,match,-6,0,0,6
double king size bed-master.,1 king and 1 sofa bed ocean front king (with sofa bed). bed type can not be guaranteed,match,-6,0,0,6
1 queen bed *standard room bed type can not be guaranteed,double room,match,-7,0,6,13
"room, 1 double bed, non smoking",standard room non-refundable,match,-7,0,4,11
double or twin standard - non refunduble,standard double room (full double bed) (bed type is subject to availability),match,-7,0,3,10
"double room, multiple beds (1 fullbed + 1 twinbed) - package rate","double room, multiple beds (1 fullbed + 1 twinbed)",match,-7,0,3,10
standard double room,twin classic,match,-7,0,3,10
double room,urban,match,-7,0,2,9
twin room,double bed - free breakfast,match,-7,0,2,9
standard double room (2 twinbed),standard double room,match,-7,0,2,9
superior king room - non-smoking,"superior room, 1 king bed, non smoking",match,-7,0,2,9
double room,standard room - package rate,match,-7,0,1,8
classic only bed not refundable,double room,match,-7,0,1,8
double room,apartamento,match,-7,0,1,8
single room,standard room 1 twin bed twinbed,match,-7,0,1,8
garden  relax not refundable only bed-dbl,twin or double classic,match,-7,0,1,8
2 double beds...30usd rsrt chg,2 double beds mob/hear access w/tub...30 usd rsrt chg,match,-7,0,1,8
room deluxe king bed,room standard,match,-7,0,1,8
twin superior sea view,double superior sea view,match,-7,0,1,8
double king size bed,twin classic,match,-7,0,1,8
two bedroom suite,suite two bedrooms,match,-7,0,1,8
standard room with 2 single non refundable,standard room 2 twin beds,match,-7,0,1,8
double queen size bed - non refunduble,queen size bed,match,-7,0,0,7
"economy double or twin - coffee & tea,express check-in,free wifi",rom and breakfast non-ref opaque,match,-7,0,0,7
non-smoking room with two double beds,2 twin beds non-smoking room - room only,match,-7,0,0,7
cosy double - newly refurbished,cosy double - newly refurbished (1 fullbed),match,-7,0,0,7
double room,double for sofa use - room with breakfast,match,-7,0,0,7
"double or twin room, 1 double bed",double room,match,-7,0,0,7
double room,room : room only non refundable,match,-7,0,0,7
double room,sir boutique,match,-7,0,0,7
double room,superior queen bed,match,-7,0,0,7
room accessible kingbed,double room,match,-7,0,0,7
double room,"room, 2 double beds (2 fullbed)",match,-7,0,0,7
double room,double room with terrace sea view,match,-7,0,0,7
double room,room deluxe non refundable,match,-7,0,0,7
double comfort non-refundable,double room,match,-7,0,0,7
double room,double club - all inclusive,match,-7,0,0,7
double room,double room - attic,match,-7,0,0,7
1 double bed *standard room. bed type can not be guaranteed,single room,match,-7,0,0,7
single room,"deluxe room, 1 king bed",match,-7,0,0,7
single room,"1 king bed traditional room, 1 king bed bed type can not be guaranteed",match,-7,0,0,7
double run of house,single room,match,-7,0,0,7
standard double room (full double bed) (balcony),twin room,match,-7,0,0,7
twin room,standard room  double/twin bed non refundable,match,-7,0,0,7
double standard : room only,twin room,match,-7,0,0,7
standard double room (double bed) (queen size double bed) non refundable,twin room,match,-7,0,0,7
twin room,room with 1 double bed non refundable,match,-7,0,0,7
single bed in female dormitory room,twin room,match,-7,0,0,7
double guest room queen bed,twin room,match,-7,0,0,7
habitación triple deluxe,twin room,match,-7,0,0,7
twin room,double or twin superior - bed and breakfast,match,-7,0,0,7
"superior double room, sea view",twin room,match,-7,0,0,7
quarto - vista mar,quarto - vista montanha,match,-7,0,0,7
twin executive room + free wifi,deluxe room + free wifi,match,-7,0,0,7
room (atic) (2 twinbed),room (atic) (1 fullbed),match,-7,0,0,7
twin classic room + free wifi,deluxe room + free wifi,match,-7,0,0,7
"pyramid two queen room, 2 queen beds","stay well pyramid two queen room, 2 queen beds",match,-7,0,0,7
family room 4 twin bed,family room 4 bunk bed,match,-7,0,0,7
double standard not refundable dbl,twin standard dbl,match,-7,0,0,7
single superior : room only,single superior : breakfast includedcontinental,match,-7,0,0,7
junior suite with aircondition (1 queenbed) - package rate,superior room with aircondition (1 queenbed) - package rate,match,-7,0,0,7
twin twin superior for single use non refundable,double single use executive,match,-7,0,0,7
premium double room - single occupancy - genius business,premium guestroom - package rate ( breakfast ),match,-7,0,0,7
room  2 double beds  ocean view  2 fullbed non refundable,room  2 double beds (rainbow \u2013 marina/ocean)  2 fullbed non refundable,match,-7,0,0,7
room  2 double beds  ocean view  2 fullbed non refundable,room  2 double beds  accessible  ocean view (bathtub)  2 fullbed non refundable,match,-7,0,0,7
"habitación estándar, 2 camas individuales",standard room with two beds and complimentary internet access*,match,-7,0,0,7
double or twin room (1 fullbed),triple room (3 twinbed),match,-7,0,0,7
single premium room (panoramic view)  2 twin beds,single premium room - panoramic view,match,-7,0,0,7
twin room - de luxe,double or twin deluxe-lanna,match,-7,0,0,7
rnbw oceanfront 2 dbl beds,room 2 queen beds partial ocean view (tapa coll) non-refundable,match,-7,0,0,7
"tapa collection partial ocean vw 2 queen beds, 50usd resort charge - lanai-refrigerator, access to 4 pools - mp3 clock - lux linens",rnbw oceanfront 2 dbl beds,match,-7,0,0,7
rnbw oceanfront 2 dbl beds,room ocean front two double beds non refundable,match,-7,0,0,7
shangri-la wing premier room 1 king bed non-refundable,deluxe river view king,match,-7,0,0,7
"partial ocean view 2 double beds, 50usd rsrt chg - lanai-refrigerator, access to 4 pools - mp3 clock-lux linens","ocean view 2 double beds, 50usd rsrt chg - lanai-refrigerator, access to 4 pools- mp3 clock-lux linens",match,-7,0,0,7
deluxe gallery,double room deluxe lanna-bed  breakfast,match,-7,0,0,7
double city view two queen beds,"two queen room, no view - semi flex",match,-7,0,0,7
superior double room with sea view,standard double room with limited sea view (2 adults+1child),match,-7,0,0,7
sixty suite,"estudio, 1 cama de matrimonio grande - rate",match,-7,0,0,7
sixty suite,"room, 1 king bed, balcony, oceanfront - rate",match,-7,0,0,7
"studio, 1 king bed",deluxe king ocean front,match,-7,0,0,7
junior suite with two queen beds,deluxe king ocean front,match,-7,0,0,7
junior suite,large double or twin room,match,-7,0,0,7
superior double room (3 adults + 1 child),superior double room (2 adults + 1 child),match,-7,0,0,7
japanese-style deluxe room - main building - non-smoking,single room - main building - non-smoking,match,-7,0,0,7
room allocated on arrival,room standard,match,-7,0,0,7
suite 2 double beds,suite,match,-7,0,0,7
view king,grand king,match,-7,0,0,7
club king,club king room,match,-7,0,0,7
"habitación premium, vistas al mar",premium suite with panoramic side sea view,match,-7,0,0,7
premier twin city view room (3 persons),double room king bed - premier,match,-7,0,0,7
premier king sky view (3 persons),family room,match,-7,0,0,7
premier king city view room (3 persons),twin deluxe garden view.,match,-7,0,0,7
premier king room (3 persons),orchid suite,match,-7,0,0,7
deluxe king garden view room (3 persons),orchid suite city view,match,-7,0,0,7
suite premium city view.,family room (3 persons),match,-7,0,0,7
twin room - de luxe - garden view,deluxe twin city view room,match,-7,0,0,7
"superior room, 1 queen bed, non smoking - advance purchase breakfast",standard room,match,-7,0,0,7
double room king bed - city view,social city view king,match,-7,0,0,7
double room king bed - city view,double room with two double beds,match,-7,0,0,7
"habitación, 1 cama de matrimonio grande, vistas a la ciudad","room, 2 queen beds, city view",match,-7,0,0,7
premium room 1 king bed,double room,match,-7,0,0,7
"premium room, 1 king bed",king studio,match,-7,0,0,7
double premium room,premier,match,-7,0,0,7
double or twin sea view,twin room sea view fullbed*,match,-7,0,0,7
"habitación deluxe doble, 1 cama de matrimonio grande",deluxe twin room,match,-7,0,0,7
suite - family,"suite, multiple beds, non smoking (oversized room) - advance purchase",match,-7,0,0,7
double room king bed - city view,double room with two double beds,match,-7,0,0,7
"suite, pool view",suite,match,-7,0,0,7
"club deluxe, club lounge access, guest room, west wing",deluxe twin,match,-7,0,0,7
superior room twin tower,"club deluxe, club lounge access, guest room, west wing",match,-7,0,0,7
1 double bed with 1 sofa bed nonsmoking,double with double bed*,match,-7,0,0,7
standard double room (double bed) (handicap accessible),"suite, 1 cama de matrimonio grande - flash sale, save 25%!",match,-7,0,0,7
double comfort - room only,double superior - room only,match,-7,0,0,7
"renaissance suite, club lounge access, 1 bedroom suite",club deluxe room,match,-7,0,0,7
deluxe twin,"renaissance suite, club lounge access, 1 bedroom suite",match,-7,0,0,7
superior room twin tower,"renaissance suite, club lounge access, 1 bedroom suite",match,-7,0,0,7
1 king mobility access roll in shower nosmok,1 kng acc rollin shwr ns,match,-7,0,0,7
room standard,collection room,match,-7,0,0,7
standard double room,standard room 2 twin beds double,upgrade,-7,0,0,7
deluxe room,"club room with complimentary breakfast, signature afternoon tea, evening sundowners, soft refreshments and canapes",upgrade,-7,0,0,7
deluxe double or twin room,double deluxe,upgrade,-7,0,0,7
studio suite 1 king bed nonsmoking,one bedroom suite 1 king bed nonsmoking,match,-7,0,0,7
"premier suite, 1 king bed, sea view","suite, 1 king bed, sea view",match,-7,0,0,7
resort deluxe room,ocean deluxe room,match,-7,0,0,7
"habitación, 1 cama de matrimonio grande (us fallsview) - semi flex","habitación, 2 camas de matrimonio (casino/city view)",match,-7,0,0,7
double standard - bed and breakfast double,standard room non-refundable,match,-7,0,0,7
double classic,twin classic dbl,match,-7,0,0,7
standard double room - long stay,double classic,match,-7,0,0,7
double room king bed - de luxe,double classic,match,-7,0,0,7
twin (2 beds)*,junior suite,match,-7,0,0,7
junior suite capacity 2,superior double room,match,-7,0,0,7
double premier city view,suite premium,match,-7,0,0,7
presidential suite,"suite, corner",match,-7,0,0,7
double or twin superior,presidential suite,match,-7,0,0,7
presidential suite,"presidential suite, 1 extra large double bed",match,-7,0,0,7
standard non refundable - 1 bed,presidential suite,match,-7,0,0,7
twin premium,twin sea view,match,-7,0,0,7
suite two bedrooms,executive suite,match,-7,0,0,7
standard room 2 twin beds,double or twin standard non refundable,match,-7,0,0,7
standard room 1 king bed,standard room 2 twin beds,match,-7,0,0,7
twin/double room - executive,double or twin superior - bed and breakfast,match,-7,0,0,7
double with private pool,double pool view,match,-7,0,0,7
single,double or twin,match,-7,0,0,7
classic triple room,superior twin room,match,-7,0,0,7
comfort triple room,classic triple room,match,-7,0,0,7
"deluxe room, 1 queen bed",double guest room queen bed,match,-7,0,0,7
double premium city view,suite run of house,match,-7,0,0,7
2 beds full size (2 pax),twin room,match,-7,0,0,7
basic triple room,basic twin room,match,-7,0,0,7
de lujo vista al mar ( none ),estandar vista al mar ( none ),match,-7,0,0,7
signature room 1 king bed,double two double beds,match,-7,0,0,7
queen room with two queen beds,2 queen beds triple,match,-7,0,0,7
"standard double,non-smoking (east wing)","corner delux twin,non-smoking (west wing)",match,-7,0,0,7
double club - all inclusive,ziva club ocean front king*,match,-7,0,0,7
deluxe room (triple room),"standard triple,non-smoking (east wing)",match,-7,0,0,7
1 king and 1 sofa bed ocean front king (with sofa bed). bed type can not be guaranteed,double room,match,-7,0,0,7
1 king and 1 sofa bed ocean front king (with sofa bed). bed type can not be guaranteed,ziva ocean front king*,match,-7,0,0,7
junior family suite (2 adults + 2 children),junior family suite (2 adults + 3 children),match,-7,0,0,7
corner hollywood quadruple room non-smoking (west wing),"hollywood twin, non-smoking (west wing)",match,-7,0,0,7
double king size bed(double room),standard king(double room),match,-8,0,9,17
double classic,double classic - room only,match,-8,0,5,13
2 twin beds twin room bed type can not be guaranteed,twin room,match,-8,0,3,11
"moderate double room, non smoking","habitación doble, no fumadores (moderate)",match,-8,0,2,10
"habitación doble, fumadores",double room with small double bed - smoking,match,-8,0,2,10
double classic - non refunduble,twin classic - non refunduble,match,-8,0,1,9
fairmont room,double room,match,-8,0,1,9
single room,double room r/o bar nonref,match,-8,0,1,9
twin room,standard twin room - single occupancy - non-refundable,match,-8,0,1,9
standard twin room with shared bathroom,standard single room with shared bathroom,match,-8,0,1,9
twin/double room - luxury,double room luxury,match,-8,0,1,9
superior apartment,apartment capacity 4 one bedroom,match,-8,0,1,9
economy double room,double standard - non refunduble,match,-8,0,0,8
standard room,"economy double or twin - coffee & tea,express check-in,free wifi",match,-8,0,0,8
"double room, city view, 2 twin beds","double room, city view, 1 double bed",match,-8,0,0,8
privilege room with twin beds(breakfast english),privilege room with twin beds,match,-8,0,0,8
twin room a - smoking (south tower),habitación doble,match,-8,0,0,8
6-bed mixed dormitory room,double room,match,-8,0,0,8
double room,accessible king bed/tub (with sofa bed),match,-8,0,0,8
double room,standard double room advance purchase ro,match,-8,0,0,8
double room,classic room 1 queen bed queenbed non refundable,match,-8,0,0,8
superior new style - special deal package - room only non refundable,double room,match,-8,0,0,8
deluxe double room non-refundable,double room,match,-8,0,0,8
double room,junior suite standard - bed and breakfast,match,-8,0,0,8
senior suite,double room,match,-8,0,0,8
double room,club ocean front corner suite all inclusive,match,-8,0,0,8
double side sea view,double room,match,-8,0,0,8
double prestige,double room,match,-8,0,0,8
city view king,double room,match,-8,0,0,8
bed in 4-bed dormitory room,single room,match,-8,0,0,8
suite non refundable - 1 bed,single room,match,-8,0,0,8
twin room,double standard : bed and breakfast,match,-8,0,0,8
single bed in 6-bed dormitory room,twin room,match,-8,0,0,8
twin room,standard twin room - smoking,match,-8,0,0,8
twin classic two beds,twin room,match,-8,0,0,8
double superior room + free wifi,twin standard room + free wifi,match,-8,0,0,8
carson tower deluxe king (package 30% full deposit),carson tower run of house (package 30% full deposit),match,-8,0,0,8
double partial ocean view room,ocean view room,match,-8,0,0,8
deluxe room + free wifi,family room + free wifi,match,-8,0,0,8
space - non refunduble,space,match,-8,0,0,8
space,space - non refunduble,match,-8,0,0,8
double premier room + free wifi,twin premier room + free wifi,match,-8,0,0,8
double or twin comfort,comfort room - breakfast included in the price,match,-8,0,0,8
premium innside room,habitación innside non refundable,match,-8,0,0,8
twin/double room - de luxe - sea view,2 double beds skyline view,match,-8,0,0,8
queen suite - non-smoking - breakfast included in the price,queen suite - non-smoking - non-refundable - breakfast included in the price,match,-8,0,0,8
deluxe lanna (non-refundable),double or twin deluxe-lanna,match,-8,0,0,8
double or twin deluxe-lanna,double premium-deluxe,match,-8,0,0,8
double room deluxe lanna-bed  breakfast,twin/double room - lanna deluxe room,match,-8,0,0,8
double premium-deluxe,double deluxe gallery non refundable,match,-8,0,0,8
double premium-deluxe,double or twin deluxe lanna non refundable,match,-8,0,0,8
king room with balcony - ocean front,sixty suite,match,-8,0,0,8
deluxe king ocean front,king studio - ocean front,match,-8,0,0,8
junior king suite,double deluxe king bed,match,-8,0,0,8
deluxe king ocean front,junior king suite,match,-8,0,0,8
"junior suite, 1 king bed, non smoking",junior king suite,match,-8,0,0,8
junior king suite,"suite, 1 king bed, accessible",match,-8,0,0,8
one-bedroom apartment (4 adults),superior studio (3 adults),match,-8,0,0,8
standard twin room with sea view,standard twin room,match,-8,0,0,8
comfort twin room - annex - non-smoking,double room with small double bed - main building - non-smoking,match,-8,0,0,8
classic double room,classic family room,match,-8,0,0,8
sands suite (3 persons),premier twin room (3 persons),match,-8,0,0,8
sands suite,double garden view.,match,-8,0,0,8
sands suite,double premier harbour view.,match,-8,0,0,8
deluxe king room,sands suite,match,-8,0,0,8
double harbour view.,premier twin city view room (3 persons),match,-8,0,0,8
sands suite,premier king city view room (3 persons),match,-8,0,0,8
premier king harbor view room (3 persons),sands suite (3 persons),match,-8,0,0,8
sands suite (3 persons),deluxe king city view room (3 persons),match,-8,0,0,8
sands suite (3 persons),twin premier.,match,-8,0,0,8
sands suite (3 persons),premier twin garden view room (3 persons),match,-8,0,0,8
deluxe king sky view (3 persons),orchid suite city view,match,-8,0,0,8
the grand club king room,orchid suite city view,match,-8,0,0,8
family room,orchid suite (3 persons),match,-8,0,0,8
orchid suite (3 persons),deluxe king room,match,-8,0,0,8
premier twin garden view room,orchid suite (3 persons),match,-8,0,0,8
twin premier.,orchid suite city view (3 persons),match,-8,0,0,8
deluxe twin city view room,double premier city view.,match,-8,0,0,8
"room, 2 twin beds, smoking - advance purchase offers","habitación, 2 camas individuales, fumadores",match,-8,0,0,8
"room, 2 twin beds, smoking - advance purchase offers","habitación, 2 camas individuales, fumadores",match,-8,0,0,8
twin room - city view,double room king bed - city view,match,-8,0,0,8
"premium room, 1 king bed",king room,match,-8,0,0,8
double standard room non refundable,double premium room,match,-8,0,0,8
double or twin sea view,premium room sea view twinbed*,match,-8,0,0,8
"room, 2 queen beds, smoking (ultra hip (newly renovated))","habitación, 2 camas de matrimonio, fumadores (ultra hip (newly renovated))",match,-8,0,0,8
"habitación, 1 cama de matrimonio grande, accesible para personas con discapacidad - flash sale, save 25%!","suite, 1 king bed - flash sale, save 25%!",match,-8,0,0,8
"deluxe, guest room",1 king bed - suite - free wifi,match,-8,0,0,8
"club deluxe, club level, guest room, west wing","superior twintower, guest room, twin tower view",match,-8,0,0,8
double junior suite (double bed) (lounge access),"club deluxe, club level, guest room, west wing",match,-8,0,0,8
double premium superior -non-refundable,superior double family room (double bed),match,-8,0,0,8
lifestyle room club,superior room twin tower,match,-8,0,0,8
"room, 1 king bed, accessible","suite, 1 cama de matrimonio grande - flash sale, save 25%!",match,-8,0,0,8
1 king or 2 twin beds - deluxe room - wifi,superior double room (double bed),match,-8,0,0,8
1 king or 2 twin beds - deluxe room - wifi,"renaissance suite, club lounge access, 1 bedroom suite",match,-8,0,0,8
"deluxe, guest room, 1 king or 2 twin/single bed(s), breakfast for two","junior suite, junior suite, 1 king, east wing",match,-8,0,0,8
"new deluxe, guest room, 1 king or 2 twin/single bed(s)",1 king or 2 twin or single bed - deluxe room - free wifi,match,-8,0,0,8
1 king or 2 twin or single bed - deluxe room - free wifi,"junior suite, club lounge access, suite, 1 king, east wing",match,-8,0,0,8
"deluxe, guest room","renaissance suite, club lounge access, 1 bedroom suite",match,-8,0,0,8
"renaissance suite, club lounge access, 1 bedroom suite","superior, guest room, 1 king or 2 twin/single bed(s), east wing",match,-8,0,0,8
"superior, guest room, 1 king or 2 twin/single bed(s)","renaissance suite, club lounge access, 1 bedroom suite",match,-8,0,0,8
habitación doble superior,habitación doble estándar (1 bebé(s) en camas existentes y 2 individual(es) or 1 doble(s) y 1 bebé(s) en camas existentes),upgrade,-8,0,0,8
double,economy double room bb,match,-8,0,0,8
twin premium,"premium room, 2 twin beds",match,-8,0,0,8
ocean king room,presidential suite,match,-8,0,0,8
premium suite,suite king bed non smoking,match,-8,0,0,8
premier room,double or twin deluxe.,match,-8,0,0,8
"habitación doble superior, no fumadores (north, ages 13+ only)",standard double room (adult only) - south wing - non-smoking,match,-8,0,0,8
basic triple room,bed in 6-bed mixed dormitory room,match,-8,0,0,8
triple standard,twin room - executive,match,-8,0,0,8
twin executive.,twin room - executive,match,-8,0,0,8
room economy,deluxe single non-smoking,match,-8,0,0,8
room economy,double,match,-8,0,0,8
double deluxe,room economy,match,-8,0,0,8
double room queen bed - de luxe,deluxe queen,match,-9,0,9,18
double or twin deluxe.,deluxe,match,-9,0,7,16
standard room - non refunduble,double room,match,-9,0,5,14
deluxe room,"habitación deluxe, 1 cama de matrimonio",match,-9,0,5,14
double room,standard double room non smoking,match,-9,0,4,13
double room - pool view,double or twin pool view,match,-9,0,4,13
double/twin bb,double room,match,-9,0,2,11
standard room non-refundable,standard room ( no breakfast ),match,-9,0,2,11
double classic king bed,double room,match,-9,0,1,10
twin room,"standard room, 1 double bed, non smoking",match,-9,0,1,10
king size bed,deluxe room,match,-9,0,1,10
standard double room,standard room ( no breakfast ),upgrade,-9,0,1,10
standard room non-refundable,standard room (sharedbed),match,-9,0,1,10
suite business,suite - business,match,-9,0,1,10
twin/double room - de luxe,double room queen bed - de luxe,match,-9,0,1,10
one-bedroom king suite with strip view,one-bedroom king room with strip view - mobility accessible,match,-9,0,0,9
2 bedroom suite (4 adults),2 bedroom suite (4 adults + 1 child),match,-9,0,0,9
2 twin beds non-smoking room - room only,2 twin beds non-smoking room fit - leisure wholesale rate plan summer,match,-9,0,0,9
double room,double single use bar bed & breakfast,match,-9,0,0,9
double room,superior double room (1 fullbed),match,-9,0,0,9
double room,twin/double room - urban,match,-9,0,0,9
double room,king bed (with sofa bed),match,-9,0,0,9
1 king mobility access roll in shower n,double room,match,-9,0,0,9
double room,"habitación deluxe, 1 cama de matrimonio",match,-9,0,0,9
twin room,standard room : breakfast,match,-9,0,0,9
twin room,"room, 1 double bed, non smoking - advance purchase offers",match,-9,0,0,9
triple room - executive,twin room,match,-9,0,0,9
double room with small double bed - smoking,twin room,match,-9,0,0,9
twin room with de luxe,twin room,match,-9,0,0,9
standard double room 1 double bed fullbed,twin room,match,-9,0,0,9
queen family room,twin room,match,-9,0,0,9
classic double or twin room - single occupancy - breakfast included in the price,comfort double non refundable,match,-9,0,0,9
classic double or twin room - single occupancy - breakfast included in the price,double standard : bed and breakfast,match,-9,0,0,9
classic double or twin room - single occupancy - breakfast included in the price,comfort triple room  1 double bed,match,-9,0,0,9
cocoon 4,cocoon 3,match,-9,0,0,9
junior suite partial ocean view king bed,junior suite partial ocean view double bed,match,-9,0,0,9
standard room - promo 3x2 ro - room only,standard double room (new style),match,-9,0,0,9
superior new style - special deal package - room only non refundable,standard room - promo 3x2 ro - room only,match,-9,0,0,9
room 2 double beds partial ocean view non-refundable,tapa collection partial ocean vw 2 queen beds...50usd resort charge - lanai-refrigerator...access to 4 pools - mp3 clock - lux linens,match,-9,0,0,9
alii ocean view 2 double beds,room 2 queen beds partial ocean view (tapa coll),match,-9,0,0,9
triple deluxe two queen beds,double two queen beds,match,-9,0,0,9
"red room, 2 queens, high floor, smoking","classic room, 2 queens, non-smoking",match,-9,0,0,9
"red room, 2 queens, high floor, smoking","red room, 1 king, high floor, non-smoking",match,-9,0,0,9
single room - annex - non-smoking,japanese-style standard room - annex - non-smoking,match,-9,0,0,9
the club room king city view (3 persons),family room,match,-9,0,0,9
the grand club king room,double premier river view.,match,-9,0,0,9
the grand club king room (3 persons),double harbour view.,match,-9,0,0,9
the grand club king room (3 persons),twin room - de luxe - city view,match,-9,0,0,9
premier king sky view (3 persons),sands suite (3 persons),match,-9,0,0,9
premier twin garden view room,deluxe king room,match,-9,0,0,9
deluxe king city view room (3 persons),orchid suite city view,match,-9,0,0,9
premier king harbor view room,premier twin room,match,-9,0,0,9
deluxe twin garden view room,premier twin room,match,-9,0,0,9
premier king harbor view room,deluxe twin city view room,match,-9,0,0,9
"room, 2 single beds, smoking - advance purchase offers","room, 2 single beds, smoking",match,-9,0,0,9
double room king bed - city view,double room queen bed,match,-9,0,0,9
twin/double room - luxury,twin/double room - premium,match,-9,0,0,9
twin/double room - luxury,double room,match,-9,0,0,9
deluxe,suite 2 bedrooms,match,-9,0,0,9
double room with terrace,superior double room sea view,match,-9,0,0,9
1 king bed - suite - free wifi,1 king and single bed - club room - free wifi,match,-9,0,0,9
2 twin beds - superior room - internet,"superior, guest room, 1 king or 2 twin/single bed(s), east wing",match,-9,0,0,9
"club deluxe, club level, guest room, west wing","renaissance suite, club level, 1 bedroom suite, 1 king",match,-9,0,0,9
standard double room,double or twin standard,upgrade,-9,0,0,9
"deluxe double room, mountain view","habitación confort doble, vistas a la montaña",match,-9,0,0,9
standard room non-refundable,standard room - non refunduble,match,-9,0,0,9
double classic,"classic room, 1 queen size bed",match,-9,0,0,9
deluxe,double classic,match,-9,0,0,9
triple superior,twin classic,match,-9,0,0,9
suite premium,double room,match,-9,0,0,9
presidential suite,superior,match,-9,0,0,9
"habitación deluxe, 1 cama de matrimonio",double room king bed - de luxe,match,-9,0,0,9
space best availble rate,superior room (space),match,-9,0,0,9
"standard double,non-smoking (east wing)","moderate twin,non-smoking (west wing)",match,-9,0,0,9
"suite club, frente al mar (corner suite)",double club - all inclusive,match,-9,0,0,9
"suite estudio, 1 cama de matrimonio grande","studio suite, 1 king bed",match,-10,0,20,30
double,twin (2 beds),match,-10,0,12,22
double room,queen size bed,match,-10,0,3,13
double room king bed - de luxe,"deluxe room, 1 king bed (1 kingbed)",match,-10,0,2,12
habitación estándar,"habitación estándar, 2 camas individuales, no fumadores",match,-10,0,2,12
room : accommodation only non refundable,classic room : accommodation only non refundable,match,-10,0,1,11
single room with bathroom,double room,match,-10,0,1,11
single room,room selected at check-in,match,-10,0,1,11
twin room,"habitación estándar, varias camas",match,-10,0,1,11
"red room, 1 king, eiffel view, high floor, smoking","red room, 1 king, high floor, smoking",match,-10,0,1,11
single standard - non refunduble,double single use standard - non refunduble,match,-10,0,0,10
\u05d1\u05e7\u05ea\u05d4 \u05d3\u05dc\u05e7\u05e1 \u05de\u05e9\u05e4\u05d7\u05ea\u05d9\u05ea \u05e2\u05dd \u05de\u05e8\u05e4\u05e1\u05ea,\u05d1\u05e7\u05ea\u05d4 \u05d3\u05dc\u05e7\u05e1 \u05d2\u05d0\u05e8\u05d3\u05df \u05e2\u05dd \u05d2'\u05e7\u05d5\u05d6\u05d9 \u05d5\u05de\u05e8\u05e4\u05e1\u05ea,match,-10,0,0,10
matsu kabuki room non smoking - south tower,habitación doble,match,-10,0,0,10
1 double bed mobility accessible room non-smoking,double room,match,-10,0,0,10
double room,double guest room king bed,match,-10,0,0,10
double room,triple room – de luxe,match,-10,0,0,10
basic twin room,double room,match,-10,0,0,10
two bedrooms double room,double room,match,-10,0,0,10
double room,single room 1 twin bed,match,-10,0,0,10
double/twin + extra bed,double room,match,-10,0,0,10
"habitación estándar, 1 cama de matrimonio grande, no fumadores",double room,match,-10,0,0,10
twin/double room - premium,single room,match,-10,0,0,10
semi double room,twin room,match,-10,0,0,10
twin room - business,twin room,match,-10,0,0,10
smart not refundable only bed,garden & relax double/twin room bb nr,match,-10,0,0,10
double prado deluxe ro,double prado deluxe premium ro,match,-10,0,0,10
family room - sofa bed,family room with 1 bed and 1 sofa,match,-10,0,0,10
japanese room 10 tatami mats(main building),"japanese room 10 tatami mats, annex building",match,-10,0,0,10
family room (3 persons),premier twin city view room (3 persons),match,-10,0,0,10
family room (3 persons),premier king harbor view room (3 persons),match,-10,0,0,10
family room (3 persons),premier king city view room,match,-10,0,0,10
orchid suite (3 persons),deluxe twin room,match,-10,0,0,10
premier king harbor view room,family room (3 persons),match,-10,0,0,10
deluxe twin city view room (3 persons),the grand club king room (3 persons),match,-10,0,0,10
deluxe king room - non-smoking,superior king room - non-smoking,match,-10,0,0,10
double room with two double beds,1 king bed,match,-10,0,0,10
studio suite gold (2 adults + 2 children),rock royalty studio suite,match,-10,0,0,10
studio suite gold (2 adults + 1 child),studio suite gold,match,-10,0,0,10
"bella suite, 2 queen beds","suite, 2 camas de matrimonio, con vistas",match,-10,0,0,10
triple room – de luxe,twin room - single use - de luxe,match,-10,0,0,10
"junior suite, 1 queen bed","junior suite, 1 king bed with sofa bed",match,-10,0,0,10
suite king size bed,suite premium,match,-10,0,0,10
double garden view,suite premium,match,-10,0,0,10
presidential suite,twin deluxe,match,-10,0,0,10
twin premium,"premium room, 1 king bed",match,-10,0,0,10
habitación clásica doble,classic triple room,match,-10,0,0,10
double room queen bed,"deluxe room, 1 queen bed",match,-10,0,0,10
twin/double room,room economy,match,-10,0,0,10
"hollywood twin, non-smoking (west wing)","standard triple,non-smoking (east wing)",match,-10,0,0,10
"hollywood twin, non-smoking (west wing)","deluxe double,non-smoking (west wing)",match,-10,0,0,10
double room,"standard room, 1 double bed",match,-11,0,27,38
standard double room (double bed) (bed type is subject to availability) non refundable,double room,match,-11,0,7,18
room non refundable,double standard - non refunduble,match,-11,0,5,16
double standard - non refunduble,double or twin standard,match,-11,0,4,15
double/twin (2 people),twin room,match,-11,0,4,15
double standard,room : accommodation only non refundable,match,-11,0,2,13
double superior - non refunduble,room superior - non refunduble,match,-11,0,1,12
king size bed,double room,match,-11,0,1,12
twin side sea view bb room,twin sea view bb room,match,-11,0,1,12
"standard twin room, 2 twin beds (2 twinbed)",twin room,match,-11,0,1,12
double king size bed.,double deluxe king bed.,match,-11,0,1,12
standard room non-refundable,standard king,match,-11,0,1,12
