name1,name2,type,score,admin,links,unlinks
premium room with aircondition (2 twinbed),junior suite - package rate ( breakfast ),match,-6,0,0,6
studio 1 king bed non smoking,studio 1 king bed non smoking kingbed non refundable,match,-6,0,0,6
nobu luxury king (dar1n),nobu luxury king (discnobu),match,-6,0,0,6
standard double room ( half board ),superior dbl room ( breakfast ),match,-6,0,0,6
premium room with aircondition (2 twinbed),junior suite - package rate ( breakfast ),match,-6,0,0,6
standard room,superior room - single occupancy - non-refundable - breakfast included in the price,match,-6,0,0,6
suíte júnior,suite superior con vista a la piscina (2 doble(s)),match,-6,0,0,6
1 king studio suite non-smoking,queen suite - non-smoking - non-refundable - breakfast included in the price,match,-6,0,0,6
queen suite - non-smoking - non-refundable - breakfast included in the price,"studio, 2 queen beds, accessible, non smoking (hearing)",match,-6,0,0,6
single room - with breakfast,premium guestroom - package rate ( none ),match,-6,0,0,6
premium guestroom - package rate ( none ),premium room with aircondition (2 twinbed),match,-6,0,0,6
tryp guestroom - package rate ( breakfast ),single room - with breakfast,match,-6,0,0,6
single room - with breakfast,premium guestroom - package rate ( breakfast ),match,-6,0,0,6
premium guestroom - package rate ( breakfast ),superior room with aircondition (2 twinbed) - package rate,match,-6,0,0,6
double/twin-ocean view 2 double beds...50usd rsrt chg - lanai-refrigerator...access to 4 pools- mp3 clock-lux linens,room  2 double beds  ocean view  2 fullbed non refundable,match,-6,0,0,6
junior suite - package rate ( none ),premium room with aircondition (2 twinbed),match,-6,0,0,6
"classic room, 1 king bed, 1 king bed","superior room, 1 king bed, 1 king bed",match,-6,0,0,6
habitación innside premium non refundable,premium innside room non refundable,match,-6,0,0,6
standard room,single standard room  1 queen bed,match,-6,0,0,6
octavius premium room  1 king  non-smoking (dar1b),julius deluxe room  1 king  non-smoking (dar1b),match,-6,0,0,6
"luxury room palm view twin, 2 single size beds, private balcony","habitación de lujo, 1 cama de matrimonio grande, balcón, vistas al mar",match,-6,0,0,6
superior room (moderner jugendstil),double double superior moderner jugendstil,match,-6,0,0,6
"suite, ensuite (2 adults + 2 children)",deluxe double room,match,-6,0,0,6
"suite, ensuite (2 adults + 2 children)","comfort cottage, ensuite (cottage deluxe ensuite)",match,-6,0,0,6
1 bedroom superior apartment,apartment (1 bedroom),match,-6,0,0,6
studio confort 2 single beds,standard single studio,match,-6,0,0,6
rainbow tower marina/ocean view 1 king bed,tapa collection partial ocean view 1 king bed...50usd resort charge - lanai-refrigerator...access to 4 pools - mp3 clock - lux linens,match,-6,0,0,6
"room, 2 queen beds, ocean view (tapa coll)",alii partial ocean view 2 double beds..,match,-6,0,0,6
alii ocean view 2 double beds...50usd r,"room, 2 queen beds, ocean view (tapa coll)",match,-6,0,0,6
junior suite junior suite for single use black friday,surprise room double room non-refundable,match,-6,0,0,6
